partner,source_sheet,section,entity,metric,student_group,school_year,value,notes,record_type,student_count,category,location,period,circulation,program_attendance,visitation,enrollment_count,books_read,met_minimum,books_distributed
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2016-17,0.327,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2017-18,0.377,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2018-19,0.398,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2020-21,0.272,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2021-22,0.277,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2022-23,0.271,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2023-24,0.295,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2024-25,0.378,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2016-17,0.364,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2017-18,0.382,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2018-19,0.364,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2020-21,0.23,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2021-22,0.272,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2022-23,0.31,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2023-24,0.297,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2024-25,0.324,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2016-17,0.575,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2017-18,0.573,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2018-19,0.572,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2020-21,0.456,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2021-22,0.484,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2022-23,0.502,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2023-24,0.501,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2024-25,0.525,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2016-17,0.196,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2017-18,0.263,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2018-19,0.264,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2020-21,0.17,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2021-22,0.137,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2022-23,0.14,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2023-24,0.151,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2024-25,0.176,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2016-17,0.244,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2017-18,0.269,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2018-19,0.25,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2020-21,0.112,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2021-22,0.119,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2022-23,0.135,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2023-24,0.136,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2024-25,0.139,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2016-17,0.455,,reading_assessment,,,,,,,,,,,
