category,partner,location,period,enrollment_count,notes
Head Start,EBCI,EBCI: Qualla Boundary Head Start,2023-24,27,(preK enrollment count)
Head Start,Lumbee,Lumbee: Pembroke Head Start,2023-24,59,
Head Start,NC,NC: Lame Deer Head Start,2023-24,94,Rising K: 51. r'cd by Leah from Tempe
Head Start,SDP,SDP: Santo Domingo Pueblo Head Start,2023-24,137,Rising Kinder PreK:
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2023-24,29,"-Autumn 3/25/24 for 3 sites (total grads): Klamath, South (Eureka), and Ke'pel"
Head Start,EBCI,EBCI: Qualla Boundary Head Start,2022-23,46,(preK enrollment count)
Head Start,Lumbee,Lumbee: Pembroke Head Start,2022-23,59,
Head Start,NC,NC: Lame Deer Head Start,2022-23,85,Rising K: 44. r'cd by Leah from Tempe
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2022-23,23,
Head Start,EBCI,EBCI: Qualla Boundary Head Start,2021-22,35,(preK enrollment count)
Head Start,Lumbee,Lumbee: Pembroke Head Start,2021-22,59,
Head Start,NC,NC: Lame Deer Head Start,2021-22,57,r'cd by Leah from Tempe
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2021-22,24,
Head Start,EBCI,EBCI: Qualla Boundary Head Start,2020-21,75,(preK enrollment count)
Head Start,Lumbee,Lumbee: Pembroke Head Start,2020-21,59,
Head Start,NC,NC: Lame Deer Head Start,2020-21,81,Annual report
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2020-21,27,
Head Start,EBCI,EBCI: Qualla Boundary Head Start,2019-20,73,(preK enrollment count)
Head Start,Lumbee,Lumbee: Pembroke Head Start,2019-20,59,
Head Start,NC,NC: Lame Deer Head Start,2019-20,141,Annual report
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2019-20,21,
Head Start,Lumbee,Lumbee: Pembroke Head Start,2018-19,59,
Head Start,NC,NC: Lame Deer Head Start,2018-19,129,r'cd by Leah from Tempe
Head Start,NC,NC: Lame Deer Head Start,2017-18,133,r'cd by Leah from Tempe
School,EBCI,EBCI: Cherokee Elementary School,2023-24,710,"PreK: 58, K: 94, 4th: 114"
School,Lumbee,Lumbee: Pembroke Elementary School,2023-24,718,"PreK: 30, K: 112, 4th: 104"
School,NC,NC: Lame Deer Elementary School,2023-24,280,"K: 38, 4th: 39"
School,SDP,SDP: Santo Domingo Elementary School,2023-24,218,"K: 38 , 4th: 32"
School,Yurok,Yurok: O Me-nok Learning Center,2023-24,94,"K: 16, 4th: 16"
School,EBCI,EBCI: Cherokee Elementary School,2022-23,625,"PreK: 58, K: 99, 4th: 117"
School,Lumbee,Lumbee: Pembroke Elementary School,2022-23,692,"PreK: 31, K: 100, 4th: 122"
School,NC,NC: Lame Deer Elementary School,2022-23,293,"K: 42, 4th: 33"
School,SDP,SDP: Santo Domingo Elementary School,2022-23,246,"K: 42, 4th: 43"
School,Yurok,Yurok: O Me-nok Learning Center,2022-23,95,"K: 11, 4th: 15"
School,EBCI,EBCI: Cherokee Elementary School,2021-22,627,"PreK: 47, K: 114, 4th: 102"
School,Lumbee,Lumbee: Pembroke Elementary School,2021-22,719,"PreK: 30, K: 114, 4th: 109"
School,NC,NC: Lame Deer Elementary School,2021-22,280,"K: 38, 4th: 39"
School,SDP,SDP: Santo Domingo Elementary School,2021-22,261,"K: 49, 4th: 51"
School,Yurok,Yurok: O Me-nok Learning Center,2021-22,98,"K: 18, 4th: 11"
School,EBCI,EBCI: Cherokee Elementary School,2020-21,641,"PreK: 38, K: 113, 4th: 111"
School,Lumbee,Lumbee: Pembroke Elementary School,2020-21,758,"PreK: 31, K: 121, 4th: 106"
School,NC,NC: Lame Deer Elementary School,2020-21,287,"K: 21, 4th: 38"
School,SDP,SDP: Santo Domingo Elementary School,2020-21,255,"K: 44, 4th: 29"
School,Yurok,Yurok: O Me-nok Learning Center,2020-21,104,"K: 23, 4th: 18"
School,EBCI,EBCI: Cherokee Elementary School,2019-20,606,"PreK: 40, K: 143, 4th: 104"
School,Lumbee,Lumbee: Pembroke Elementary School,2019-20,783,"PreK: 32, K: 141, 4th: 121"
School,NC,NC: Lame Deer Elementary School,2019-20,312,"K: 54, 4th: 47"
School,SDP,SDP: Santo Domingo Elementary School,2019-20,261,"K: 48, 4th: 42"
School,Yurok,Yurok: O Me-nok Learning Center,2019-20,107,"K: 24, 4th: 7"
School,EBCI,EBCI: Cherokee Elementary School,2018-19,547,"PreK: 40, K: 113, 4th: 84"
School,Lumbee,Lumbee: Pembroke Elementary School,2018-19,784,"PreK: 31, K: 113, 4th: 124"
School,NC,NC: Lame Deer Elementary School,2018-19,315,"K: 53, 4th: 40"
School,SDP,SDP: Santo Domingo Elementary School,2018-19,239,"K: 50, 4th: 41"
School,Yurok,Yurok: O Me-nok Learning Center,2018-19,96,"K: 22, 4th: 14"
School,NC,NC: Lame Deer Elementary School,2017-18,309,"K: 43, 4th: 45"
