category,partner,location,period,circulation,program_attendance,visitation
School Library,EBCI,EBCI: Cherokee Elementary School,2023-24,4112,,"125-150 independent visits/week
500ish students in class visits/week"
School Library,Lumbee,Lumbee: Pembroke Elementary School,2023-24,11338,,
School Library,NC,NC: Lame Deer Elementary School,2023-24,280,,380
School Library,SDP,SDP: Santo Domingo Elementary School,2023-24,*,,
School Library,Yurok,Yurok: 'O Me-nok  Learning Center,2023-24,2298,,
School Library,EBCI,EBCI: Cherokee Elementary School,2022-23,4028,,"720 students, pre-k - 5th gr"
School Library,NC,NC: Lame Deer Elementary School,2022-23,293,,
School Library,Yurok,Yurok: 'O Me-nok  Learning Center,2022-23,3483,,
School Library,EBCI,EBCI: Cherokee Elementary School,2021-22,4893,,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2021-22,12608,,
School Library,NC,NC: Lame Deer Elementary School,2021-22,280,,
School Library,Yurok,Yurok: 'O Me-nok  Learning Center,2021-22,2290,,
School Library,EBCI,EBCI: Cherokee Elementary School,2020-21,1986,,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2020-21,535,,
School Library,NC,NC: Lame Deer Elementary School,2020-21,287,,
School Library,EBCI,EBCI: Cherokee Elementary School,2019-20,6404,,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2019-20,24762,,
School Library,NC,NC: Lame Deer Elementary School,2019-20,312,,
School Library,EBCI,EBCI: Cherokee Elementary School,2018-19,10445,,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2018-19,24004,,
School Library,NC,NC: Lame Deer Elementary School,2018-19,315,,
School Library,EBCI,EBCI: Cherokee Elementary School,2017-18,11006,,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2017-18,26789,,
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2023-24,"13,171 total / 7,875 youth (through June 14) ",40 programs offered / 120 attendees (through May) ,6308
Public/Tribal Library,NC,NC: Woodenlegs Library,2023-24,2102,450,1620*
Public/Tribal Library,Yurok,Yurok: Del Norte Public Library,2023-24,26847,1964,3130
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2022-23,"13,159 total / 7,126 youth",53 programs offered / 300 attendees,6028
Public/Tribal Library,NC,NC: Woodenlegs Library,2022-23,,46,2223
Public/Tribal Library,Yurok,Yurok: Del Norte Public Library,2022-23,29160,1786,30000
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2021-22,"18,131 / 10,856",,
Public/Tribal Library,NC,NC: Woodenlegs Library,2021-22,32,190,2178
Public/Tribal Library,Yurok,Yurok: Del Norte Public Library,2021-22,21210,807,22500
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2020-21,"12,988 / 6,283",,
Public/Tribal Library,NC,NC: Woodenlegs Library,2020-21,100,30,1680
Public/Tribal Library,SDP,SDP: Santo Domingo Pueblo Public Library,2020-21,2059,,
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2019-20,"11,530 / 3,495",,
Public/Tribal Library,NC,NC: Woodenlegs Library,2019-20,80,,
Public/Tribal Library,SDP,SDP: Santo Domingo Pueblo Public Library,2019-20,3031,,
Public/Tribal Library,Lumbee,Lumbee: Robeson Public Library,2018-19,"15,914 / 5,706",,
Public/Tribal Library,NC,NC: Woodenlegs Library,2018-19,36,,
Public/Tribal Library,SDP,SDP: Santo Domingo Pueblo Public Library,2018-19,5006,,
Public/Tribal Library,SDP,SDP: Santo Domingo Pueblo Public Library,2017-18,4648,,
