partner,source_sheet,section,entity,metric,student_group,school_year,value,notes
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2016-17,0.327,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2017-18,0.377,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2018-19,0.398,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2020-21,0.272,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2021-22,0.277,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2022-23,0.271,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2023-24,0.295,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Grade Level Proficient (Levels 3-5),,2024-25,0.378,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2016-17,0.364,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2017-18,0.382,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2018-19,0.364,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2020-21,0.23,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2021-22,0.272,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2022-23,0.31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2023-24,0.297,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Grade Level Proficient (Levels 3-5),,2024-25,0.324,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2016-17,0.575,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2017-18,0.573,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2018-19,0.572,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2020-21,0.456,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2021-22,0.484,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2022-23,0.502,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2023-24,0.501,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Grade Level Proficient (Levels 3-5),,2024-25,0.525,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2016-17,0.196,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2017-18,0.263,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2018-19,0.264,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2020-21,0.17,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2021-22,0.137,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2022-23,0.14,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2023-24,0.151,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Career and College Ready (Levels 4-5),,2024-25,0.176,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2016-17,0.244,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2017-18,0.269,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2018-19,0.25,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2020-21,0.112,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2021-22,0.119,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2022-23,0.135,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2023-24,0.136,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2024-25,0.139,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2016-17,0.455,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2017-18,0.46,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2018-19,0.452,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2020-21,0.289,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2021-22,0.293,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2022-23,0.309,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2023-24,0.305,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2024-25,0.315,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2016-17,0.597,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2017-18,0.724,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2018-19,0.5,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2020-21,0.633,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2021-22,0.416,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2022-23,0.505,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2023-24,0.537,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2024-25,0.593,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2016-17,0.706,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2017-18,0.709,
