category,partner,location,period,books_read,met_minimum,notes
Head Start,Yurok,Yurok: 3 Yurok Tribe Head Start Sites,2024-04,420,9,
School Library,EBCI,EBCI: Cherokee Elementary School,2023-03,460,23,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2023-03,340,17,
School Library,EBCI,EBCI: Cherokee Elementary School,2023-04,1200,57,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2023-04,1380,69,
School Library,EBCI,EBCI: Cherokee Elementary School,2023-05,1160,41,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2023-05,360,18,
School Library,Lumbee,Lumbee: Pembroke Elementary School,2023-08,340,17,
School Library,EBCI,EBCI: Cherokee Elementary School,2023-09,1580,79,
School Library,EBCI,EBCI: Cherokee Elementary School,2024-01,857,41,"K -2, 1st - 10, 2nd - 27, 3rd - 2"
School Library,EBCI,EBCI: Cherokee Elementary School,2024-02,988,59,"K -5, 1st - 15, 2nd - 35, 3rd- 4"
School Library,EBCI,EBCI: Cherokee Elementary School,2024-03,1074,42,"K-0, 1st -10, 2nd -27, 3rd -5"
School Library,EBCI,EBCI: Cherokee Elementary School,2024-04,1766,50,"K-0, 1st -15, 2nd -31, 3rd -4"
School Library,EBCI,EBCI: Cherokee Elementary School,2024-05,2212,74,"K-0, 1st - 21, 2nd - 52, 3rd - 1"
School Library,EBCI,EBCI: Cherokee Elementary School,2024-09,2275,73,
Public/Tribal Library,NC,NC: Woodenlegs Library,Summer2024,154,15,"35 enrolled in summer reading program, 15 completed"
